followers_count,following_count,tweet_count,days_antiquity,description_length,username_digits,class
3088.0,2868.0,88412.0,1375.0,160.0,0.0,0
64.0,753.0,5922.0,1374.0,69.0,1.0,0
64.0,128.0,903.0,1372.0,69.0,0.0,0
69.0,52.0,1971.0,1372.0,23.0,3.0,0
77.0,353.0,14703.0,1369.0,,8.0,0
74.0,74.0,6979.0,1368.0,,1.0,0
22.0,326.0,993.0,1366.0,41.0,8.0,0
437.0,173.0,7711.0,4967.0,,0.0,0
250.0,530.0,1838.0,4966.0,103.0,0.0,0
32.0,211.0,330.0,3883.0,,0.0,0
93.0,187.0,4345.0,3883.0,84.0,0.0,0
25.0,23.0,1309.0,3883.0,142.0,0.0,0
319.0,578.0,12208.0,1354.0,,8.0,0
22.0,220.0,2154.0,3883.0,103.0,2.0,0
19.0,136.0,50.0,3883.0,,1.0,0
33.0,30.0,4649.0,4965.0,,0.0,0
500.0,1100.0,21420.0,1348.0,30.0,1.0,0
44.0,114.0,1393.0,1348.0,,8.0,0
200.0,687.0,1505.0,1345.0,81.0,2.0,0
434.0,623.0,5415.0,3882.0,155.0,0.0,0
4.0,93.0,97.0,1341.0,,0.0,0
127.0,200.0,2667.0,1338.0,67.0,0.0,0
259.0,766.0,17531.0,1337.0,77.0,1.0,0
29.0,124.0,2771.0,3881.0,,1.0,0
177.0,227.0,23035.0,1335.0,,8.0,0
26.0,47.0,1987.0,1334.0,56.0,0.0,0
30.0,113.0,3426.0,1333.0,97.0,8.0,0
23040.0,1120.0,16554.0,3880.0,143.0,0.0,0
86.0,147.0,2388.0,3880.0,,0.0,0
258.0,380.0,14695.0,3880.0,,0.0,0
681.0,1499.0,7030.0,4962.0,114.0,0.0,0
1117.0,2338.0,49493.0,1324.0,109.0,2.0,0
85.0,221.0,8270.0,3880.0,67.0,0.0,0
272.0,1842.0,8132.0,1323.0,8.0,0.0,0
31.0,191.0,536.0,1322.0,2.0,0.0,0
47.0,245.0,5627.0,1320.0,97.0,3.0,0
2.0,223.0,425.0,1317.0,27.0,0.0,0
1122.0,2077.0,20217.0,1311.0,17.0,2.0,0
3465.0,670.0,40593.0,1310.0,108.0,4.0,0
6.0,9.0,311.0,1310.0,20.0,0.0,0
2.0,92.0,107.0,1309.0,,1.0,0
20.0,175.0,2044.0,1309.0,48.0,8.0,0
2.0,49.0,2064.0,1309.0,,0.0,0
10.0,25.0,491.0,1308.0,9.0,0.0,0
626.0,2161.0,29245.0,1308.0,44.0,5.0,0
104.0,370.0,917.0,4960.0,,0.0,0
27.0,45.0,1136.0,1307.0,,0.0,0
25.0,260.0,6621.0,1307.0,13.0,1.0,0
6.0,248.0,1490.0,1305.0,,2.0,0
4365.0,1082.0,13390.0,1305.0,,8.0,0
121.0,186.0,5100.0,1304.0,148.0,8.0,0
55.0,364.0,477.0,1304.0,,1.0,0
119.0,404.0,12259.0,1303.0,92.0,0.0,0
996.0,788.0,11388.0,1302.0,153.0,0.0,0
16.0,76.0,3303.0,1302.0,83.0,8.0,0
750.0,976.0,4600.0,1302.0,57.0,1.0,0
112.0,380.0,6774.0,1300.0,79.0,1.0,0
740.0,1243.0,22015.0,4959.0,7.0,0.0,0
3.0,63.0,994.0,1298.0,,0.0,0
5.0,105.0,169.0,1296.0,23.0,0.0,0
36.0,148.0,1070.0,1296.0,,8.0,0
223.0,337.0,7671.0,1296.0,10.0,8.0,0
45.0,272.0,287.0,1295.0,54.0,8.0,0
63.0,13.0,11396.0,1295.0,27.0,0.0,0
16.0,105.0,4158.0,1294.0,37.0,8.0,0
59.0,340.0,7819.0,1294.0,106.0,2.0,0
45.0,62.0,8455.0,1294.0,33.0,8.0,0
16.0,88.0,450.0,1294.0,,0.0,0
1782.0,3168.0,180302.0,4958.0,133.0,0.0,0
15.0,160.0,2006.0,1292.0,13.0,2.0,0
838.0,4544.0,10977.0,1292.0,,0.0,0
42.0,191.0,842.0,1291.0,22.0,0.0,0
0.0,44.0,39.0,1291.0,,8.0,0
214.0,410.0,7637.0,1291.0,133.0,4.0,0
19.0,71.0,622.0,1290.0,,8.0,0
122.0,110.0,16681.0,1290.0,37.0,0.0,0
241.0,1908.0,34171.0,1289.0,6.0,0.0,0
9.0,88.0,1813.0,1289.0,,8.0,0
109.0,225.0,9732.0,3875.0,144.0,1.0,0
132.0,165.0,12950.0,1288.0,38.0,2.0,0
2.0,29.0,933.0,1287.0,14.0,2.0,0
1898.0,2560.0,280568.0,1287.0,,1.0,0
14.0,534.0,4876.0,1285.0,3.0,0.0,0
453.0,533.0,75533.0,1285.0,68.0,0.0,0
34.0,68.0,255.0,1285.0,73.0,1.0,0
4.0,112.0,5434.0,1284.0,3.0,2.0,0
2.0,36.0,293.0,1284.0,,1.0,0
118.0,1005.0,8405.0,1283.0,,8.0,0
635.0,1507.0,30614.0,1283.0,31.0,0.0,0
1312.0,718.0,12610.0,1280.0,122.0,8.0,0
48.0,67.0,301.0,1280.0,,8.0,0
1.0,24.0,83.0,1278.0,,8.0,0
1.0,27.0,31.0,1278.0,1.0,0.0,0
29.0,200.0,1138.0,1278.0,110.0,4.0,0
3321.0,2219.0,13261.0,3874.0,57.0,0.0,0
1362.0,2631.0,20696.0,1277.0,14.0,8.0,0
477.0,464.0,34579.0,1276.0,37.0,0.0,0
950.0,52.0,22337.0,1275.0,20.0,1.0,0
15.0,296.0,203.0,4956.0,,2.0,0
15.0,112.0,879.0,1274.0,,3.0,0
140.0,86.0,2386.0,3874.0,,0.0,0
18.0,0.0,1612.0,1274.0,,0.0,0
16.0,228.0,463.0,1274.0,22.0,8.0,0
30.0,190.0,1580.0,3873.0,,4.0,0
8.0,49.0,228.0,1272.0,11.0,0.0,0
8.0,174.0,86.0,3873.0,,0.0,0
275.0,362.0,2036.0,4956.0,81.0,0.0,0
367.0,425.0,16369.0,1269.0,51.0,0.0,0
204.0,166.0,2726.0,1268.0,34.0,1.0,0
319.0,2675.0,7637.0,1268.0,96.0,0.0,0
200.0,613.0,9863.0,1267.0,,1.0,0
66.0,143.0,2041.0,3873.0,,2.0,0
40.0,433.0,3759.0,1267.0,15.0,0.0,0
91.0,280.0,11046.0,4955.0,160.0,0.0,0
76.0,144.0,1197.0,1266.0,20.0,2.0,0
30.0,30.0,593.0,1266.0,10.0,0.0,0
11306.0,11272.0,59797.0,1265.0,82.0,0.0,0
33.0,111.0,6635.0,1262.0,,3.0,0
5.0,138.0,1458.0,1259.0,,0.0,0
9466.0,4081.0,44728.0,1258.0,136.0,2.0,0
9.0,37.0,166.0,3871.0,,1.0,0
7.0,21.0,716.0,1255.0,,8.0,0
9.0,266.0,1616.0,1254.0,142.0,4.0,0
343.0,338.0,3230.0,3871.0,60.0,0.0,0
1.0,30.0,131.0,1253.0,,8.0,0
90.0,214.0,7103.0,1252.0,47.0,0.0,0
12.0,326.0,845.0,1249.0,1.0,2.0,0
118.0,546.0,8794.0,1249.0,41.0,0.0,0
1.0,58.0,1231.0,1247.0,,0.0,0
2.0,162.0,306.0,1247.0,7.0,4.0,0
30.0,171.0,3439.0,1247.0,54.0,1.0,0
10.0,46.0,130.0,1246.0,,0.0,0
5.0,63.0,1548.0,1246.0,,3.0,0
564.0,3106.0,2481.0,1246.0,114.0,0.0,0
